trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
85,0,85,0,3774.1558364001103,3775.1557824001648,3775.1557824001648,up,1,0.5238748998381197,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
86,0,86,0,3775.705862100236,3776.7057626000606,3776.7057626000606,up,1,0.3683345001190901,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
87,0,87,0,3777.105371300131,3778.1052977000363,3778.1052977000363,up,1,0.42373150028288364,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
88,0,88,0,3778.555235300213,3779.5550999999978,3779.5550999999978,up,1,0.4814068004488945,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
89,0,89,0,3780.056318100076,3781.0547736003064,3781.0715149999596,up,1,0.5095326001755893,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
90,0,90,0,3781.5878930999897,3782.587779399939,3782.587779399939,up,1,0.4659728999249637,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
91,0,91,0,3783.0719181001186,3784.070815199986,3784.070815199986,up,0,0.4300239998847246,1,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
92,0,92,0,3784.521098200232,3785.520569200162,3785.520569200162,up,1,0.7250886000692844,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
93,0,93,0,3786.2711368999444,3787.2709067999385,3787.286902199965,up,1,0.72974650003016,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
94,0,94,0,3788.0206758999266,3789.0202534003183,3789.0202534003183,down,1,0.45273869996890426,3,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
95,0,95,0,3789.502958700061,3790.502572100144,3790.502572100144,up,0,0.546157100237906,1,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
96,0,96,0,3791.070487699937,3792.0692842002027,3792.085708899889,down,1,0.6480640000663698,2,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
97,0,97,0,3792.736324199941,3793.735445600003,3793.735445600003,down,1,0.5968590998090804,4,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
98,0,98,0,3794.3525153999217,3795.351715099998,3795.351715099998,up,1,0.5625696000643075,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
99,0,99,0,3795.9353895001113,3796.9349148003384,3796.9512279001065,up,1,0.5732590002007782,0,637592,001,2022-09-11_00h38.10.577,Orientation Discrimination task,2022.2.2,59.62268379449279,
